chebi	name
CHEBI:50464	cis-vaccenate (18:1n7)
CHEBI:28727	cis-vaccenate (18:1n7)
CHEBI:36023	cis-vaccenate (18:1n7)
CHEBI:3723	citalopram
CHEBI:15584	citramalate
CHEBI:30769	citrate
CHEBI:16349	citrulline
CHEBI:57743	citrulline
CHEBI:17650	cortisol
CHEBI:16962	cortisone
CHEBI:16919	creatine
CHEBI:57947	creatine
CHEBI:16737	creatinine
CHEBI:17561	cysteine
CHEBI:35235	cysteine
CHEBI:47910	cysteine
CHEBI:58717	cysteine
CHEBI:61894	cysteine
CHEBI:4047	cysteinylglycine
CHEBI:61694	cysteinylglycine
CHEBI:16283	cystine
CHEBI:35491	cystine
CHEBI:17562	cytidine
CHEBI:16436	cytidine 5'-diphosphocholine
CHEBI:60377	cytidine 5'-monophosphate (5'-cmp)
CHEBI:17361	cytidine 5'-monophosphate (5'-cmp)
CHEBI:53013	cytidine-3'-monophosphate (3'-cmp)
CHEBI:27652	cytosine-2',3'-cyclic monophosphate
CHEBI:1941	deoxycarnitine
CHEBI:73731	dihomo-linoleate (20:2n6)
CHEBI:53460	dihomo-linolenate (20:3n3 or n6)
CHEBI:53486	dihomo-linolenate (20:3n3 or n6)
CHEBI:17929	dimethylarginine (sdma + adma)
CHEBI:25682	dimethylarginine (sdma + adma)
CHEBI:61914	dimethylarginine (sdma + adma)
CHEBI:17724	dimethylglycine
CHEBI:58251	dimethylglycine
CHEBI:75117	docosadienoate (22:2n6)
CHEBI:28125	docosapentaenoate (n6 dpa; 22:5n6)
CHEBI:53488	docosapentaenoate (n3 dpa; 22:5n3)
CHEBI:65136	docosapentaenoate (n6 dpa; 22:5n6)
CHEBI:4676	dodecanedioate
CHEBI:28364	eicosapentaenoate (epa; 20:5n3)
CHEBI:32425	eicosenoate (20:1n9 or 11)
CHEBI:28918	epinephrine
CHEBI:4828	ergothioneine
CHEBI:28792	erucate (22:1n9)
CHEBI:17113	erythritol
CHEBI:37655	erythronate*
CHEBI:16000	ethanolamine
CHEBI:16238	flavin adenine dinucleotide (fad)
CHEBI:48095	fructose
CHEBI:37721	fructose
CHEBI:28645	fructose
CHEBI:18105	fructose 1-phosphate
CHEBI:37515	fructose 1-phosphate
CHEBI:16084	fructose-6-phosphate
CHEBI:15946	fructose-6-phosphate
CHEBI:48204	fucose
CHEBI:27442	fucose
CHEBI:28419	fucose
CHEBI:2181	fucose
CHEBI:18012	fumarate
CHEBI:22958	fumarate
CHEBI:42797	gabapentin
CHEBI:17118	galactose
CHEBI:28061	galactose
CHEBI:46953	galactose
CHEBI:16865	gamma-aminobutyrate (gaba)
CHEBI:59888	gamma-aminobutyrate (gaba)
CHEBI:17515	gamma-glutamylcysteine
CHEBI:73705	gamma-glutamylglutamate
CHEBI:73707	gamma-glutamylglutamine
CHEBI:68433	gamma-glutamylleucine
CHEBI:18185	gamma-tocopherol
CHEBI:16002	glucarate (saccharate)
CHEBI:33198	gluconate
CHEBI:15444	glucose
CHEBI:17925	glucose
CHEBI:4167	glucose
CHEBI:75792	glucose
CHEBI:29042	glucose 1-phosphate
CHEBI:16077	glucose 1-phosphate
CHEBI:17665	glucose-6-phosphate (g6p)
CHEBI:4170	glucose-6-phosphate (g6p)
CHEBI:47953	glucuronate
CHEBI:47952	glucuronate
CHEBI:52591	glucuronate
CHEBI:42717	glucuronate
CHEBI:52773	glucuronate
CHEBI:16015	glutamate
CHEBI:53374	glutamate
CHEBI:15966	glutamate
CHEBI:53375	glutamate
CHEBI:18050	glutamine
CHEBI:58359	glutamine
CHEBI:30921	glutarate (pentanedioate)
CHEBI:17859	glutarate (pentanedioate)
CHEBI:17858	glutathione, oxidized (gssg)
CHEBI:16856	glutathione, reduced (gsh)
CHEBI:60836	glutathione, reduced (gsh)
CHEBI:32398	glycerate
CHEBI:15850	glycerol
CHEBI:17522	glycerol
CHEBI:17754	glycerol
CHEBI:17270	glycerol 2-phosphate
CHEBI:15978	glycerol 3-phosphate (g3p)
CHEBI:17106	glycerol 3-phosphate (g3p)
CHEBI:52330	glycerophosphoethanolamine
CHEBI:64574	glycerophosphoethanolamine
CHEBI:67274	glycerophosphoethanolamine
CHEBI:68488	glycerophosphoethanolamine
CHEBI:68520	glycerophosphoethanolamine
CHEBI:71825	glycerophosphoethanolamine
CHEBI:71826	glycerophosphoethanolamine
CHEBI:71827	glycerophosphoethanolamine
CHEBI:71828	glycerophosphoethanolamine
CHEBI:71829	glycerophosphoethanolamine
CHEBI:71830	glycerophosphoethanolamine
CHEBI:71831	glycerophosphoethanolamine
CHEBI:71832	glycerophosphoethanolamine
CHEBI:71833	glycerophosphoethanolamine
CHEBI:71834	glycerophosphoethanolamine
CHEBI:71835	glycerophosphoethanolamine
CHEBI:71836	glycerophosphoethanolamine
CHEBI:71837	glycerophosphoethanolamine
CHEBI:71838	glycerophosphoethanolamine
CHEBI:71839	glycerophosphoethanolamine
CHEBI:71840	glycerophosphoethanolamine
CHEBI:71841	glycerophosphoethanolamine
CHEBI:71842	glycerophosphoethanolamine
CHEBI:71843	glycerophosphoethanolamine
CHEBI:71844	glycerophosphoethanolamine
CHEBI:71845	glycerophosphoethanolamine
CHEBI:71846	glycerophosphoethanolamine
CHEBI:71847	glycerophosphoethanolamine
CHEBI:71848	glycerophosphoethanolamine
CHEBI:71849	glycerophosphoethanolamine
CHEBI:71850	glycerophosphoethanolamine
CHEBI:71851	glycerophosphoethanolamine
CHEBI:71852	glycerophosphoethanolamine
CHEBI:71853	glycerophosphoethanolamine
CHEBI:71854	glycerophosphoethanolamine
CHEBI:71855	glycerophosphoethanolamine
CHEBI:71856	glycerophosphoethanolamine
CHEBI:71857	glycerophosphoethanolamine
CHEBI:71858	glycerophosphoethanolamine
CHEBI:71859	glycerophosphoethanolamine
CHEBI:71860	glycerophosphoethanolamine
CHEBI:71861	glycerophosphoethanolamine
CHEBI:71862	glycerophosphoethanolamine
CHEBI:71863	glycerophosphoethanolamine
CHEBI:71864	glycerophosphoethanolamine
CHEBI:71865	glycerophosphoethanolamine
CHEBI:71866	glycerophosphoethanolamine
CHEBI:71867	glycerophosphoethanolamine
CHEBI:71868	glycerophosphoethanolamine
CHEBI:71869	glycerophosphoethanolamine
CHEBI:71870	glycerophosphoethanolamine
CHEBI:71871	glycerophosphoethanolamine
CHEBI:71872	glycerophosphoethanolamine
CHEBI:71873	glycerophosphoethanolamine
CHEBI:71874	glycerophosphoethanolamine
CHEBI:71876	glycerophosphoethanolamine
CHEBI:71877	glycerophosphoethanolamine
CHEBI:71878	glycerophosphoethanolamine
CHEBI:71879	glycerophosphoethanolamine
CHEBI:71880	glycerophosphoethanolamine
CHEBI:71881	glycerophosphoethanolamine
CHEBI:72381	glycerophosphoethanolamine
CHEBI:72382	glycerophosphoethanolamine
CHEBI:72383	glycerophosphoethanolamine
CHEBI:72384	glycerophosphoethanolamine
CHEBI:72385	glycerophosphoethanolamine
CHEBI:72386	glycerophosphoethanolamine
CHEBI:72387	glycerophosphoethanolamine
CHEBI:72388	glycerophosphoethanolamine
CHEBI:72389	glycerophosphoethanolamine
CHEBI:72390	glycerophosphoethanolamine
CHEBI:72391	glycerophosphoethanolamine
CHEBI:72392	glycerophosphoethanolamine
CHEBI:72393	glycerophosphoethanolamine
CHEBI:72394	glycerophosphoethanolamine
CHEBI:72395	glycerophosphoethanolamine
CHEBI:72396	glycerophosphoethanolamine
CHEBI:72397	glycerophosphoethanolamine
CHEBI:72398	glycerophosphoethanolamine
CHEBI:72399	glycerophosphoethanolamine
CHEBI:72400	glycerophosphoethanolamine
CHEBI:72401	glycerophosphoethanolamine
CHEBI:72734	glycerophosphoethanolamine
CHEBI:72735	glycerophosphoethanolamine
CHEBI:30909	glycerophosphorylcholine (gpc)
CHEBI:55397	glycerophosphorylcholine (gpc)
CHEBI:64483	glycerophosphorylcholine (gpc)
CHEBI:64539	glycerophosphorylcholine (gpc)
CHEBI:64540	glycerophosphorylcholine (gpc)
CHEBI:64541	glycerophosphorylcholine (gpc)
CHEBI:64544	glycerophosphorylcholine (gpc)
CHEBI:64563	glycerophosphorylcholine (gpc)
CHEBI:64565	glycerophosphorylcholine (gpc)
CHEBI:64566	glycerophosphorylcholine (gpc)
CHEBI:64567	glycerophosphorylcholine (gpc)
CHEBI:64568	glycerophosphorylcholine (gpc)
CHEBI:67053	glycerophosphorylcholine (gpc)
CHEBI:67054	glycerophosphorylcholine (gpc)
CHEBI:67055	glycerophosphorylcholine (gpc)
CHEBI:67056	glycerophosphorylcholine (gpc)
CHEBI:67057	glycerophosphorylcholine (gpc)
CHEBI:67058	glycerophosphorylcholine (gpc)
CHEBI:67059	glycerophosphorylcholine (gpc)
CHEBI:67060	glycerophosphorylcholine (gpc)
CHEBI:67061	glycerophosphorylcholine (gpc)
CHEBI:67064	glycerophosphorylcholine (gpc)
CHEBI:67065	glycerophosphorylcholine (gpc)
CHEBI:67066	glycerophosphorylcholine (gpc)
CHEBI:67067	glycerophosphorylcholine (gpc)
CHEBI:67068	glycerophosphorylcholine (gpc)
CHEBI:67069	glycerophosphorylcholine (gpc)
CHEBI:67070	glycerophosphorylcholine (gpc)
CHEBI:67071	glycerophosphorylcholine (gpc)
CHEBI:67073	glycerophosphorylcholine (gpc)
CHEBI:67074	glycerophosphorylcholine (gpc)
CHEBI:67075	glycerophosphorylcholine (gpc)
CHEBI:67076	glycerophosphorylcholine (gpc)
CHEBI:67077	glycerophosphorylcholine (gpc)
CHEBI:67082	glycerophosphorylcholine (gpc)
CHEBI:67083	glycerophosphorylcholine (gpc)
CHEBI:67084	glycerophosphorylcholine (gpc)
CHEBI:67085	glycerophosphorylcholine (gpc)
CHEBI:67086	glycerophosphorylcholine (gpc)
CHEBI:67087	glycerophosphorylcholine (gpc)
CHEBI:67088	glycerophosphorylcholine (gpc)
CHEBI:68489	glycerophosphorylcholine (gpc)
CHEBI:72736	glycerophosphorylcholine (gpc)
CHEBI:72737	glycerophosphorylcholine (gpc)
CHEBI:74349	glycerophosphorylcholine (gpc)
CHEBI:76083	glycerophosphorylcholine (gpc)
CHEBI:16870	glycerophosphorylcholine (gpc)
CHEBI:15428	glycine
CHEBI:15705	glycine
CHEBI:16228	glycine
CHEBI:57305	glycine
CHEBI:59869	glycine
CHEBI:59871	glycine
CHEBI:62031	glycine
CHEBI:66884	glycine
CHEBI:66933	glycine
CHEBI:17375	glycolate (hydroxyacetate)
CHEBI:17497	glycolate (hydroxyacetate)
CHEBI:17893	glycolate (hydroxyacetate)
CHEBI:52618	glycolate (hydroxyacetate)
CHEBI:9347	glycolithocholate sulfate*
CHEBI:16670	glycylglycine
CHEBI:17201	glycylglycine
CHEBI:356445	glycylglycine
CHEBI:73514	glycylleucine
CHEBI:16344	guanidinoacetate
CHEBI:57742	guanidinoacetate
CHEBI:16235	guanine
CHEBI:16750	guanosine
CHEBI:17587	gulono-1,4-lactone
CHEBI:17627	heme*
CHEBI:26355	heme*
CHEBI:70749	hexanoylcarnitine
CHEBI:18089	hippurate
CHEBI:18295	histamine
CHEBI:73337	histamine
CHEBI:15971	histidine
CHEBI:57595	histidine
CHEBI:17588	homocysteine
CHEBI:58199	homocysteine
CHEBI:17230	homocysteine
CHEBI:58065	homocysteine
CHEBI:15699	homoserine
CHEBI:57476	homoserine
CHEBI:5757	homostachydrine*
CHEBI:16668	hypotaurine
CHEBI:57853	hypotaurine
CHEBI:17368	hypoxanthine
CHEBI:73087	imidazole propionate
CHEBI:16411	indoleacetate
CHEBI:24813	indolelactate
CHEBI:17596	inosine
CHEBI:18169	inositol 1-phosphate (i1p)
CHEBI:17191	isoleucine
CHEBI:58045	isoleucine
CHEBI:16946	kynurenine
CHEBI:57959	kynurenine
CHEBI:422	lactate
CHEBI:30805	laurate (12:0)
CHEBI:73054	laurylcarnitine
CHEBI:15603	leucine
CHEBI:57427	leucine
CHEBI:6456	lidocaine
CHEBI:17351	linoleate (18:2n6)
CHEBI:27432	linolenate [alpha or gamma; (18:3n3 or 6)]
CHEBI:39548	lipitor
CHEBI:50686	lipitor
CHEBI:18019	lysine
CHEBI:30797	malate
CHEBI:61953	maltohexaose
CHEBI:61952	maltopentaose
CHEBI:18167	maltose
CHEBI:17306	maltose
CHEBI:47937	maltose
CHEBI:61988	maltotetraose
CHEBI:37675	mannose
CHEBI:4208	mannose
CHEBI:48066	mannose-6-phosphate
CHEBI:49728	mannose-6-phosphate
CHEBI:32365	margarate (17:0)
CHEBI:6801	metformin
CHEBI:16643	methionine
CHEBI:57844	methionine
CHEBI:320061	methyl-alpha-glucopyranoside
CHEBI:340824	methylphosphate
CHEBI:6904	metoprolol
CHEBI:17268	myo-inositol
CHEBI:28875	myristate (14:0)
CHEBI:27781	myristoleate (14:1n5)
CHEBI:73061	myristoylcarnitine
CHEBI:27410	n1-methyl-2-pyridone-5-carboxamide
CHEBI:72817	n1-methyladenosine
CHEBI:16020	n1-methyladenosine
CHEBI:19062	n1-methylguanosine
CHEBI:19289	n2,n2-dimethylguanosine
CHEBI:35704	n2-acetyllysine
CHEBI:61512	n2-acetyllysine
CHEBI:19702	n2-methylguanosine
CHEBI:17752	n6-acetyllysine
CHEBI:58260	n6-acetyllysine
CHEBI:40992	n-acetylalanine
CHEBI:40521	n-acetylarginine
CHEBI:21547	n-acetylaspartate (naa)
CHEBI:17029	n-acetylglucosamine
CHEBI:28009	n-acetylglucosamine
CHEBI:61631	n-acetylglucosamine
CHEBI:28401	n-acetylglucosamine
CHEBI:506227	n-acetylglucosamine
CHEBI:50565	n-acetylglucosamine 6-phosphate
CHEBI:15784	n-acetylglucosamine 6-phosphate
CHEBI:21553	n-acetylglutamine
CHEBI:73685	n-acetylglutamine
CHEBI:21501	n-acetylglycine
CHEBI:40410	n-acetylglycine
CHEBI:17786	n-acetylleucine
CHEBI:21557	n-acetylmethionine
CHEBI:17012	n-acetylneuraminate
CHEBI:45744	n-acetylneuraminate
CHEBI:16543	n-acetylornithine
CHEBI:57805	n-acetylornithine
CHEBI:16259	n-acetylphenylalanine
CHEBI:16160	n-acetylthreonine
CHEBI:74640	n-acetyltryptophan
CHEBI:16734	n-acetyltryptophan
CHEBI:21563	n-acetyltyrosine
CHEBI:7476	naproxen
CHEBI:44247	nervonate (24:1n9)
CHEBI:17154	nicotinamide
CHEBI:15846	nicotinamide adenine dinucleotide (nad+)
CHEBI:16908	nicotinamide adenine dinucleotide reduced (nadh)
CHEBI:16171	nicotinamide ribonucleotide (nmn)
CHEBI:15927	nicotinamide riboside*
CHEBI:15940	nicotinate
CHEBI:18304	nicotinate adenine dinucleotide (naad+)
CHEBI:16440	n-methylglutamate
CHEBI:73039	octanoylcarnitine
CHEBI:16196	oleate (18:1n9)
CHEBI:15729	ornithine
CHEBI:16176	ornithine
CHEBI:32636	p-acetamidophenylglucuronide
CHEBI:15756	palmitate (16:0)
CHEBI:28716	palmitoleate (16:1n7)
CHEBI:46905	pantothenate
CHEBI:7916	pantothenate
CHEBI:7936	paroxetine
CHEBI:17847	p-cresol sulfate
CHEBI:32361	pelargonate (9:0)
CHEBI:29019	pelargonate (9:0)
CHEBI:18208	penicillin g
CHEBI:42504	pentadecanoate (15:0)
CHEBI:31991	phenol red
CHEBI:27905	phenol sulfate
CHEBI:8087	phenylacetylglutamine
CHEBI:17884	phenylacetylglutamine
CHEBI:17295	phenylalanine
CHEBI:58095	phenylalanine
CHEBI:18367	phosphate
CHEBI:26078	phosphate
CHEBI:52641	phosphate
CHEBI:7794	phosphate
CHEBI:44897	phosphoenolpyruvate (pep)
CHEBI:17553	phosphoethanolamine
CHEBI:46961	phytosphingosine
CHEBI:30913	pipecolate
CHEBI:46876	pipecolate
CHEBI:61185	pipecolate
CHEBI:17964	pipecolate
CHEBI:28821	piperine
CHEBI:74767	pro-hydroxy-pro
CHEBI:17203	proline
CHEBI:60039	proline
CHEBI:28867	propionylcarnitine
CHEBI:27820	prostaglandin a2
CHEBI:15551	prostaglandin e2
CHEBI:17802	pseudouridine
CHEBI:17148	putrescine
CHEBI:17310	pyridoxal
CHEBI:17405	pyridoxate
CHEBI:16838	pyrophosphate (ppi)
CHEBI:18361	pyrophosphate (ppi)
CHEBI:29888	pyrophosphate (ppi)
CHEBI:17521	quinate
CHEBI:16675	quinolinate
CHEBI:8776	ranitidine
CHEBI:17015	riboflavin (vitamin b2)
CHEBI:47014	ribose
CHEBI:47013	ribose
CHEBI:17173	ribulose
CHEBI:16927	saccharopine
CHEBI:16680	s-adenosylhomocysteine (sah)
CHEBI:57856	s-adenosylhomocysteine (sah)
CHEBI:67040	s-adenosylmethionine (sam)
CHEBI:16914	salicylate
CHEBI:15611	sarcosine (n-methylglycine)
CHEBI:57433	sarcosine (n-methylglycine)
CHEBI:10642	scyllo-inositol
CHEBI:23927	scyllo-inositol
CHEBI:15721	sedoheptulose-7-phosphate
CHEBI:17115	serine
CHEBI:33384	serine
CHEBI:16523	serine
CHEBI:35247	serine
CHEBI:45658	s-methylcysteine
CHEBI:13022	sorbitol
CHEBI:17317	sorbitol
CHEBI:17924	sorbitol
CHEBI:17044	sorbitol 6-phosphate
CHEBI:16610	spermidine
CHEBI:15746	spermine
CHEBI:46968	sphinganine
CHEBI:16566	sphinganine
CHEBI:46964	sphingosine
CHEBI:16393	sphingosine
CHEBI:26743	sphingosine
CHEBI:15440	squalene
CHEBI:35280	stachydrine
CHEBI:28842	stearate (18:0)
CHEBI:32389	stearidonate (18:4n3)
CHEBI:73074	stearoylcarnitine
CHEBI:15741	succinate
CHEBI:15671	tartarate
CHEBI:15891	taurine
CHEBI:507393	taurine
CHEBI:17347	testosterone
CHEBI:28946	theobromine
CHEBI:48300	threitol
CHEBI:49059	threonate
CHEBI:15908	threonate
CHEBI:16857	threonine
CHEBI:57926	threonine
CHEBI:17748	thymidine
CHEBI:17821	thymine
CHEBI:18095	trans-4-hydroxyproline
CHEBI:58375	trans-4-hydroxyproline
CHEBI:27248	trans-urocanate
CHEBI:30817	trans-urocanate
CHEBI:18123	trigonelline (n'-methylnicotinate)
CHEBI:16828	tryptophan
CHEBI:57912	tryptophan
CHEBI:17895	tyrosine
CHEBI:58315	tyrosine
CHEBI:60987	tyrosyltyrosine
CHEBI:73713	undecanedioate
CHEBI:17568	uracil
CHEBI:17775	urate
CHEBI:46811	urate
CHEBI:46814	urate
CHEBI:46817	urate
CHEBI:46823	urate
CHEBI:62589	urate
CHEBI:16199	urea
CHEBI:48376	urea
CHEBI:16704	uridine
CHEBI:16414	valine
CHEBI:57762	valine
CHEBI:75011	valylglutamate
CHEBI:20106	vanillylmandelate (vma)
CHEBI:9943	venlafaxine
CHEBI:17712	xanthine
CHEBI:48517	xanthine
CHEBI:18107	xanthosine
CHEBI:17151	xylitol
CHEBI:48093	xylonate
CHEBI:48092	xylonate
CHEBI:17979	xylose
CHEBI:53455	xylose
CHEBI:17140	xylulose
CHEBI:17138	glyceraldehyde-3-phosphate
CHEBI:16797	1-methylnicotinamide
CHEBI:18129	2-hydroxystearate
CHEBI:33094	3-aminoisobutyrate
CHEBI:58655	3-aminoisobutyrate
CHEBI:16758	3-dehydrocarnitine*
CHEBI:16530	3-methyl-2-oxobutyrate
CHEBI:50599	3-methylhistidine
CHEBI:28631	3-phenylpropionate (hydrocinnamate)
CHEBI:15999	4-hydroxyphenylpyruvate
CHEBI:30915	alpha-ketoglutarate
CHEBI:15816	arginine
CHEBI:28941	behenate (22:0)
CHEBI:7676	butyrylcarnitine
CHEBI:3424	carnitine
CHEBI:11060	carnitine
CHEBI:32798	conjugated linoleate (18:2n7; 9z,11e)
CHEBI:36025	conjugated linoleate (18:2n7; 9z,11e)
CHEBI:17482	cystathionine
CHEBI:58161	cystathionine
CHEBI:16814	dehydroisoandrosterone sulfate (dhea-s)
CHEBI:541975	epiandrosterone sulfate
CHEBI:5118	fluoxitine
CHEBI:27470	folate
CHEBI:17687	glycocholate
CHEBI:27471	glycodeoxycholate
CHEBI:5855	ibuprofen
CHEBI:18297	inositol 1-phosphate (i1p)
CHEBI:64838	inositol 1-phosphate (i1p)
CHEBI:73017	isobutyrylcarnitine
CHEBI:30794	malonate (propanedioate)
CHEBI:16899	mannitol
CHEBI:17016	methionine sulfoxide
CHEBI:49033	methionine sulfoxide
CHEBI:16552	n-formylmethionine
CHEBI:27480	phenylacetylglycine
CHEBI:32978	phenyllactate (pla)
CHEBI:25998	phenyllactate (pla)
CHEBI:30851	phenylpyruvate
CHEBI:16709	pyridoxine (vitamin b6)
CHEBI:32816	pyruvate
CHEBI:28552	ribulose
CHEBI:41865	sebacate (decanedioate)
CHEBI:16525	taurochenodeoxycholate
CHEBI:17864	taurolithocholate 3-sulfate
CHEBI:27607	thymol sulfate
CHEBI:17200	udp-glucuronate
CHEBI:9907	ursodeoxycholate
CHEBI:16761	adenosine 5'-diphosphate (adp)
CHEBI:15727	carnosine
CHEBI:57485	carnosine
CHEBI:15346	coenzyme a
CHEBI:62204	coenzyme a
CHEBI:28834	deoxycholate
CHEBI:71179	tiglyl carnitine
CHEBI:28972	1,2-propanediol
CHEBI:29002	1,2-propanediol
CHEBI:15811	3-phosphoserine
CHEBI:17645	4-acetamidobutanoate
CHEBI:15350	acetylphosphate
CHEBI:37084	beta-hydroxyisovalerate
CHEBI:15710	betaine aldehyde
CHEBI:3387	carbamazepine*
CHEBI:16345	cysteine sulfinic acid
CHEBI:41721	cysteine sulfinic acid
CHEBI:27956	dehydroascorbate
CHEBI:16108	dihydroxyacetone phosphate (dhap)
CHEBI:17197	dihydroxyacetone phosphate (dhap)
CHEBI:16057	dimethylallyl pyrophosphate (dmapp)
CHEBI:45571	heptanoate (7:0)
CHEBI:45630	levulinate (4-oxovalerate)
CHEBI:72865	mead acid (20:3n9)
CHEBI:70857	methylglutaroylcarnitine
CHEBI:17533	n-acetylglutamate
CHEBI:16437	n-acetylhistidine
CHEBI:52742	ribose 5-phosphate
CHEBI:17992	sucrose
CHEBI:65313	sucrose
CHEBI:28621	triethanolamine
